method,n_models,total_params,latency_ms,psnr,ssim,fss,csi,recall
Top-K,2,9442,13.89190233332253,18.891189755577912,0.6820238479037721,0.9353845573849074,0.7515855385210163,0.9977303181466703
RadarCover-Multicover,2,9442,13.722193999986604,18.891189755577912,0.6820238479037721,0.9353845573849074,0.7515855385210163,0.9977303181466703
Full-Ensemble,12,47418,51.64694900008726,18.83542771681494,0.6484747179204143,0.9283155385077599,0.7367119764545431,0.9988672129029817
Best-Single,1,4721,6.032506666656445,18.817583730801054,0.6114824408626733,0.9361175334467636,0.7545267028268556,0.9965691589197214
Pareto-Pruning,4,10829,9.28351166661893,18.27569480470172,0.6664020045205018,0.9231092797556663,0.723278538346992,0.9958812775438345
Traditional-Set-Cover,2,6117,7.402326999984629,18.233175268013937,0.6060683240343555,0.9293240814052589,0.7327125702998911,0.9938911214136316
Random-Pruning,2,9546,13.000340666697715,17.01478620809789,0.3172364539119069,0.9196761050871046,0.697606282930358,0.9803784976248464
Diversity-Based,2,4712,1.7699656666536612,16.89277095136285,0.5479486385572768,0.9080193443832387,0.6837282842827743,0.9830842191097512
