model,regime_id,n_samples,psnr,ssim,fss,csi,recall,latency_ms,n_params
SRCNN#0,2,5,17.507676315639003,0.572945740034437,0.9902126073837281,0.9362939963869735,0.9995873509201555,72.28719260001526,4721
SRCNN#0,13,1,13.759291128300632,0.45085321154069447,0.8430981040000916,0.5115979381443299,0.9887920298879203,35.361582799987445,4721
SRCNN#0,4,2,14.11404813280348,0.6281091844014097,0.8220891654491425,0.5069205911597215,0.9899107656879678,34.23992939999607,4721
SRCNN#0,5,6,16.996099230952552,0.6342991013843252,0.9036810994148254,0.6043417595467435,0.9971330526401759,48.773059399991325,4721
SRCNN#0,7,6,18.472642064840105,0.6559160725864173,0.9595964252948761,0.7717146197721699,0.9996371474414739,34.320127000000866,4721
SRCNN#0,12,2,14.833535848747443,0.5498379716287385,0.9269343912601471,0.6598291175250972,0.996558986288816,32.42842479999126,4721
SRCNN#0,14,5,16.615984411718003,0.5264966066940042,0.9752642989158631,0.8337731592690171,0.9992955501061009,32.87010100000316,4721
SRCNN#0,1,11,18.001743794319438,0.6417972887957085,0.9731398116458546,0.8324549805987644,0.9994853105860423,32.04060320001645,4721
SRCNN#0,11,1,15.354811490572914,0.6473217851463783,0.7668960094451904,0.437125748502994,0.9918478260869565,35.349351400009255,4721
SRCNN#0,6,7,20.867976154025516,0.7349992925338519,0.9230889592851911,0.6457920102995153,0.9977642609253735,33.33524340000622,4721
SRCNN#0,3,5,18.52593786905296,0.6444039335026497,0.8577196359634399,0.521759179806232,0.9935945861817472,34.635227799981294,4721
SRCNN#0,0,4,22.093695315817303,0.7784292068617571,0.9411260038614273,0.6805503422274147,1.0,34.24708939999164,4721
SRCNN#0,9,4,20.123581712072315,0.705467840197072,0.6788031160831451,0.3504387949522387,0.984344828736385,37.27576039998439,4721
SRCNN#0,15,4,21.82563045930718,0.7843564511120534,0.8444025367498398,0.5186512853146077,0.9923113069186177,34.671129599996675,4721
SRCNN#0,10,3,21.50694778001782,0.6820800565068846,0.9989091555277506,0.9911061770304439,0.9999155262713296,55.305052800008525,4721
SRCNN#0,8,6,16.751133309163865,0.5639620152105608,0.982336163520813,0.8793054740452101,0.9994962510926592,34.38717900000938,4721
SRCNN#1,2,5,18.240188516804167,0.6872584344302266,0.9936489820480346,0.9477923126366106,0.9991571972166696,56.321247400001084,4721
SRCNN#1,13,1,14.305361537028901,0.5245272851389278,0.892318844795227,0.5697674418604651,0.9763387297633873,32.73248059999787,4721
SRCNN#1,4,2,14.907779210214297,0.5838883321157957,0.8512515425682068,0.5452761148230063,0.9918537708693149,31.590720400004102,4721
SRCNN#1,5,6,17.58957530584262,0.571051270346214,0.9242186546325684,0.6494691175597509,0.9961769825819143,31.18272839999463,4721
SRCNN#1,7,6,19.172777591070535,0.5947051084519437,0.9705622394879659,0.8030370435312638,0.9996615905245347,32.640850600000704,4721
SRCNN#1,12,2,15.638093730163085,0.5559323050550505,0.9449005126953125,0.7011661420175597,0.9989271615381904,31.25441099998625,4721
SRCNN#1,14,5,17.319808916455067,0.5865919642339076,0.9824691891670227,0.8572422116511451,0.9996439821618501,46.17782239999997,4721
SRCNN#1,1,11,18.718616590853472,0.5960493141562886,0.980974858457392,0.8584177380885979,0.9997895770979461,33.92594439999357,4721
SRCNN#1,11,1,16.274193254101654,0.5680240718293816,0.7620711326599121,0.4365361803084223,1.0,33.50382619998982,4721
SRCNN#1,6,7,21.27295544198671,0.5947269000064408,0.9415941068104335,0.6903356923323509,0.9971841620681113,34.89417000000685,4721
SRCNN#1,3,5,19.05840136168884,0.5683188199436638,0.8817867040634155,0.5656176399994746,0.9961744571881971,35.229952600002434,4721
SRCNN#1,0,4,22.43121418965265,0.6057696843730523,0.9573044180870056,0.7254760585585773,1.0,31.222463000017342,4721
SRCNN#1,9,4,20.529397145778255,0.5786074900697864,0.6904401928186417,0.3702530120336419,0.9843238427778991,34.480292800003554,4721
SRCNN#1,15,4,22.432012506891475,0.600401746874877,0.8622202128171921,0.5504028648336711,0.9929955241273374,33.826435599985416,4721
SRCNN#1,10,3,22.438739209040182,0.7731295952439053,0.999176541964213,0.9925140168094098,0.9999155262713296,34.312379800007875,4721
SRCNN#1,8,6,17.43026294860015,0.6354376526335094,0.988420695066452,0.9004729672045637,0.9996019178663893,40.5654592000019,4721
ESPCN#0,2,5,17.015115218337332,0.5438701473785393,0.9911620140075683,0.9383709237454717,0.9992434047564815,3.894757199986998,3316
ESPCN#0,13,1,13.374267497313923,0.44338621793793903,0.8402482867240906,0.5136186770428015,0.9863013698630136,3.855242800000269,3316
ESPCN#0,4,2,13.631678786872214,0.5541965605078121,0.8186219334602356,0.5013250626039182,0.9892630972941854,4.503667599988148,3316
ESPCN#0,5,6,16.463112063795084,0.6343055860447321,0.9052173892656962,0.609386374109718,0.9953625604553552,4.237649599986071,3316
ESPCN#0,7,6,18.30022523877875,0.6811783945238906,0.9615486065546671,0.7773611861363254,0.999356471700534,4.218646999993325,3316
