method,n_models,n_regimes_unmet,total_params,latency_ms,psnr,ssim,fss,csi,recall,selected_models
A_RadarCover_Full,2,8,9442,10.156510333331425,18.891189755577912,0.6820238479037721,0.9353845573849074,0.7515855385210163,0.9977303181466703,"SRCNN#0, SRCNN#1"
B_No_Multicoverage,1,7,4721,4.377561666662662,18.817583730801054,0.6114824408626733,0.9361175334467636,0.7545267028268556,0.9965691589197214,SRCNN#1
C_No_Regime_Weights,2,8,9442,9.35530233332808,18.891189755577912,0.6820238479037721,0.9353845573849074,0.7515855385210163,0.9977303181466703,"SRCNN#0, SRCNN#1"
D_No_Meteorological_Metrics,2,8,9442,9.226223333333412,18.891189755577912,0.6820238479037721,0.9353845573849074,0.7515855385210163,0.9977303181466703,"SRCNN#0, SRCNN#1"
E_Cost_Unaware,2,8,9442,8.895462000007608,18.891189755577912,0.6820238479037721,0.9353845573849074,0.7515855385210163,0.9977303181466703,"SRCNN#0, SRCNN#1"
F_Simple_Fusion,2,8,9442,11.910716666676535,18.885044288799318,0.6820363740799639,0.9353136255171944,0.7514499514573064,0.9977884286017638,"SRCNN#0, SRCNN#1"
