model,regime_id,n_samples,psnr,ssim,fss,csi,recall,latency_ms,n_params
SRCNN#0,10,212,18.172463568451562,0.5742414410401009,0.9169838841793672,0.6668200403230766,0.9974792608592162,12.801666557788849,4721
SRCNN#0,3,146,18.27522146801285,0.5922286675501781,0.8046428255022389,0.4802639604213461,0.9750026090995513,13.819083198904991,4721
SRCNN#0,2,252,21.70658133009279,0.6484684022193304,0.862690467210043,0.5622190616855148,0.9937391006968168,14.720516558736563,4721
SRCNN#0,14,165,20.306013497260437,0.6331638085600454,0.8853142178419865,0.5931757317113162,0.9952586080691597,22.26914162747562,4721
SRCNN#0,7,214,18.670474512912826,0.5943924188655877,0.9180697483994137,0.672559023549671,0.9967829476339614,13.599833194166422,4721
SRCNN#0,0,277,17.026243309350345,0.5338662292247093,0.9375261995766567,0.7293883666226842,0.9983114324563354,12.509191827848554,4721
SRCNN#0,9,244,16.327540806122226,0.4967440867943652,0.9527066257156309,0.7795032670348452,0.9989500560884118,13.686841633170843,4721
SRCNN#0,11,318,15.748943054890502,0.47114331200272463,0.9576274111585797,0.7993078527633272,0.9988965882642654,11.880283383652568,4721
SRCNN#0,8,224,15.910674309679337,0.5323574434038176,0.8785311047519956,0.5890728069598498,0.992870550280074,11.915591591969132,4721
SRCNN#0,6,235,15.61121992542911,0.45426261034302556,0.9706784258497522,0.8524427864955785,0.9993754762848824,13.004191778600216,4721
SRCNN#0,4,131,13.992275172611292,0.47043000490884634,0.8140876347782048,0.5011067839055806,0.9861040952319056,11.743299989029765,4721
SRCNN#0,15,229,16.950856837883006,0.4887877817846729,0.9899626288351534,0.9452008292934916,0.9998346918845513,13.48451660014689,4721
SRCNN#0,12,128,16.664504568225983,0.5495307742304091,0.6897818553261459,0.367300966623442,0.9513590941684842,12.96399156562984,4721
SRCNN#0,13,77,24.607417429407754,0.6676169758993421,0.6750534780613788,0.3410683999170437,0.8807225820093175,12.96522500924766,4721
SRCNN#0,1,203,15.36721856060857,0.4407488521368368,0.9751311922308259,0.8718363166458027,0.9994690752901476,13.287691632285714,4721
SRCNN#0,5,161,17.382578197753205,0.4703029316022744,0.9927253686123013,0.9613092193037149,0.9998901524258133,11.889849975705147,4721
SRCNN#1,10,212,19.46504831650523,0.7266926996907541,0.9656245390761573,0.7755183628453961,0.9982605578537602,12.977583380416036,4721
SRCNN#1,3,146,19.648543583226477,0.733366004709674,0.8621134709005487,0.557310258440589,0.989989564295791,12.60385843925178,4721
SRCNN#1,2,252,23.003085142477897,0.7944791956857917,0.9264067603009087,0.6752573098820964,0.997732859548638,13.627625023946166,4721
SRCNN#1,14,165,21.64105208966391,0.7799494885762505,0.9442038463823723,0.7049607035158073,0.9975403258988446,11.946449987590313,4721
SRCNN#1,7,214,20.021768540536264,0.7424039936243787,0.9641725635417154,0.7744962311387742,0.9981858710900506,12.617591768503189,4721
SRCNN#1,0,277,18.468824088609384,0.6976176419470044,0.975580439670852,0.8244559613585756,0.9992476122692259,17.73090842179954,4721
SRCNN#1,9,244,17.770213240210673,0.6656276641056396,0.9816461952983356,0.8573242433748172,0.9989508426751543,12.911958200857043,4721
SRCNN#1,11,318,17.35787773778533,0.6564995230543679,0.983361986073308,0.8695038145282082,0.9991449627120161,12.768199993297458,4721
SRCNN#1,8,224,17.30037657000411,0.6814161807736631,0.9319057712065322,0.678768624096869,0.996942565715589,12.630183389410377,4721
SRCNN#1,6,235,17.231402170648035,0.6437239768994006,0.9885327980873433,0.9056511493689189,0.9994089790950563,13.125391583889723,4721
SRCNN#1,4,131,15.306598124655865,0.6296227755241188,0.8706771681326946,0.5699068519089691,0.99424110918162,11.887833382934332,4721
SRCNN#1,15,229,19.15598141170197,0.6847331389972074,0.9956307301875286,0.9632981143237973,0.9997230880787051,11.887575034052134,4721
SRCNN#1,12,128,17.986504441345392,0.6991003845245003,0.7458283514715731,0.4210358873328778,0.9836780704566456,12.126350030303001,4721
SRCNN#1,13,77,25.953059991791854,0.8144075604916544,0.6666219675695741,0.36329323331016183,0.9626252570178371,11.610716627910733,4721
SRCNN#1,1,203,17.072756912901653,0.6478270981010255,0.9902881237086404,0.9169927775075087,0.9994264487903127,12.387741776183248,4721
SRCNN#1,5,161,19.96016365265893,0.687546211926728,0.9969564165387835,0.9737335469669328,0.9998178779867541,11.94579997099936,4721
ESPCN#0,10,212,18.287156285810422,0.5057104259532276,0.9316773948804388,0.6897084341736629,0.9991268427404644,1.4611500315368176,3316
ESPCN#0,3,146,18.51318229287629,0.4981370976369174,0.7850695285078597,0.4611714832656055,0.9916751136407005,1.3707583770155907,3316
ESPCN#0,2,252,21.967368252260652,0.5594698969348674,0.8744107841972321,0.5760717805772425,0.9992682586454952,1.3741415925323963,3316
ESPCN#0,14,165,20.437030106421364,0.5380483893291231,0.8929736892382304,0.5996529492664658,0.9988923851997636,1.4512834139168262,3316
ESPCN#0,7,214,18.780557521460373,0.518847165239115,0.9283532503052293,0.6869537351909887,0.998961268586481,1.3712750282138586,3316
ESPCN#0,0,277,17.09987685669357,0.49024150857045956,0.9491723474612735,0.7497082434373207,0.9996067074070877,1.369533222168684,3316
ESPCN#0,9,244,16.334900776580856,0.47848874715291173,0.9613083945434602,0.7942587328004987,0.9996119109124393,1.4478500001132488,3316
ESPCN#0,11,318,15.700668172941217,0.4797848901376183,0.9632585191126889,0.8082585985243121,0.9995459268912732,1.4029081910848618,3316
ESPCN#0,8,224,16.09570501294565,0.46053861882522307,0.8801482652447054,0.5862854917856651,0.9976092002401219,1.3746666256338358,3316
ESPCN#0,6,235,15.464895010938116,0.4937896124711643,0.9747566694908953,0.8591173042511939,0.9997777008672927,1.3872915878891945,3316
ESPCN#0,4,131,14.175913544128925,0.42120583651044075,0.7988389248156366,0.4798505391415194,0.9944596553668869,1.5396750066429377,3316
ESPCN#0,15,229,16.262890037642347,0.5742194063417527,0.9906851761205748,0.9463183128947423,0.9998490289508375,1.3845750130712986,3316
ESPCN#0,12,128,16.95147916442882,0.4710163266629212,0.6503519117832184,0.3400700602009026,0.9836111340707017,1.6194915864616632,3316
ESPCN#0,13,77,24.78276519040484,0.5721903712269886,0.5888529125746195,0.2958564962253692,0.9482498458996305,1.3760500121861696,3316
ESPCN#0,1,203,15.140005336851855,0.5116947598251073,0.9778620964787864,0.8757432598642285,0.9997262751202737,1.4043250121176243,3316
ESPCN#0,5,161,16.587154590872824,0.5843164643559144,0.993393105379543,0.9622544209504691,0.9998991803841005,1.6769584268331528,3316
ESPCN#1,10,212,18.75919701189685,0.7018177232015728,0.9470386350492261,0.7167963598999152,0.9967164367758117,1.3765916228294373,3316
ESPCN#1,3,146,18.820858019926252,0.7019052421121258,0.8145198164737388,0.4831893437521517,0.9838866805262408,1.4507499989122152,3316
ESPCN#1,2,252,22.28267344579634,0.810154982157373,0.8934129895198912,0.6014532182456773,0.9957609183541086,1.4457915909588337,3316
ESPCN#1,14,165,20.80637094956939,0.7745985491679174,0.9107087767485417,0.6242171548787503,0.9954393603296606,1.3663915917277336,3316
ESPCN#1,7,214,19.21408912052894,0.7249602220531665,0.9416911794203464,0.7099014135396435,0.9970226011606597,1.3958168216049671,3316
ESPCN#1,0,277,17.6865771513106,0.6548804286066664,0.9603423028646393,0.7725496040095903,0.9980089419259933,1.399641577154398,3316
ESPCN#1,9,244,16.967828925715594,0.6057245050302268,0.9709047719103391,0.8166069660918706,0.9980975811136127,1.3725999742746353,3316
ESPCN#1,11,318,16.412313373425736,0.5734318567518614,0.972552313557211,0.8292682780008247,0.9981454982541689,1.373900007456541,3316
ESPCN#1,8,224,16.502982229784486,0.6198888119688151,0.9028793554753065,0.6129225425892998,0.9937825055100173,1.5839499887079,3316
