method,n_models,total_params,latency_ms,psnr,ssim,fss,csi,recall
Full-Ensemble,12,47418,19.367722095921636,18.741663575946887,0.6811178562054232,0.9422472585515813,0.7755436989224931,0.9987184257038791
Best-Single,1,4721,2.160180282468597,18.63355111300757,0.6906446343378625,0.9495125418582311,0.794194466536085,0.9970377091924222
Top-K,2,8037,2.531264287730058,18.499601584569263,0.6982053011590919,0.9443200075978315,0.7826592738252544,0.9974891536606328
RadarCover-Multicover,2,8037,2.832514001056552,18.499601584569263,0.6982053011590919,0.9443200075978315,0.7826592738252544,0.9974891536606328
Traditional-Set-Cover,3,9433,3.3405973420788846,18.431980351165617,0.6719845781991325,0.9447574703913288,0.7820473814522474,0.9971057443478379
Pareto-Pruning,4,10829,4.068722405160466,18.35475089367516,0.6251782052620237,0.9388006260022542,0.7670070206722339,0.9969555181423811
Diversity-Based,2,6221,2.926152665168047,17.591455632957445,0.4986223922452475,0.9370119835238927,0.7486002457701546,0.9912276809228054
Random-Pruning,2,9546,4.270055331289768,16.204136710355968,0.4452406925659385,0.9322223675654845,0.7315207930183134,0.9760739261904028
